order_month,orders,customers,gmv,avg_order_value,avg_review_score,late_orders,delivered_orders,canceled_orders,late_delivery_rate,cancellation_rate
2016-09,4,4,354.75,118.25,1.0,1,1,2,1.0,0.5
2016-10,324,321,56808.84,184.4442857142857,3.561128526645768,2,270,24,0.007407407407407408,0.07407407407407407
2016-12,1,1,19.62,19.62,5.0,0,1,0,0.0,0.0
2017-01,800,765,137188.49,173.87641318124207,4.062658227848101,22,750,3,0.029333333333333333,0.00375
2017-02,1780,1755,286280.62,165.1936641661858,4.015837104072398,49,1653,17,0.029643073200241985,0.009550561797752809
2017-03,2682,2642,432048.59,163.59280196895116,4.074596016535137,116,2546,33,0.04556166535742341,0.012304250559284116
2017-04,2404,2372,412422.24,172.48943538268506,4.046082949308755,151,2303,18,0.06556665219279201,0.0074875207986688855
2017-05,3700,3625,586190.95,160.16146174863385,4.142116748499728,106,3545,29,0.029901269393511988,0.007837837837837838
2017-06,3245,3180,502963.04,156.34536524712465,4.147762585456806,95,3135,16,0.030303030303030304,0.004930662557781202
2017-07,4026,3947,584971.62,147.38513983371126,4.175396825396825,108,3872,28,0.027892561983471075,0.006954793840039742
2017-08,4331,4246,668204.6,155.64980200326113,4.237436016751977,122,4193,27,0.02909611256856666,0.006234126067882706
2017-09,4285,4212,720398.91,169.7852722130568,4.187838155728064,182,4150,20,0.04385542168674699,0.004667444574095682
2017-10,4631,4561,769312.37,168.41339098073556,4.124537339429566,187,4478,26,0.041759714158106295,0.0056143381559058516
2017-11,7544,7430,1179143.77,158.25308951818548,3.9108288770053474,904,7288,37,0.12403951701427003,0.004904559915164369
2017-12,5673,5603,863547.23,153.5468047652916,4.018888096935139,411,5513,11,0.07455106112824234,0.0019390093424995593
2018-01,7269,7166,1107301.89,153.36591274238225,4.041799750034717,403,7069,34,0.05700947800254633,0.004677397166047599
2018-02,6728,6569,986908.96,147.4318733193905,3.8273131494804153,927,6556,73,0.14139719341061624,0.010850178359096314
2018-03,7211,7115,1155126.82,160.70211741791877,3.7535674314493566,1328,7003,26,0.18963301442239042,0.0036056025516571903
2018-04,6939,6882,1159698.04,167.2480588404961,4.162501816068575,306,6798,15,0.04501323918799647,0.00216169476869866
2018-05,6873,6814,1149781.82,167.7778812199037,4.194034215528586,443,6749,24,0.06563935397836716,0.003491924923614142
2018-06,6167,6128,1022677.11,166.01901136363637,4.2774792379091355,71,6096,18,0.011646981627296589,0.0029187611480460517
2018-07,6292,6230,1056728.03,168.456564642117,4.263246358251961,208,6156,41,0.03378817413905133,0.006516211061665607
2018-08,6512,6460,999308.47,154.88351983880966,4.256206630686199,393,6351,84,0.061880018894662256,0.012899262899262898
2018-09,16,14,166.46,166.46,1.8,0,0,15,,0.9375
2018-10,4,4,0.0,,2.25,0,0,4,,1.0
